backend,batch_size,input_lbas,slm_read_chunk_bytes,slm_read_queue_depth,iteration,output_layout,physical_output_bytes_per_u8,slm_create_ms,ssd_to_slm_ms,program_setup_ms,fpga_execute_ms,slm_to_host_ms,host_verify_ms,dump_write_ms,cleanup_ms,transport_ready_ms,data_path_ms,one_shot_transport_ready_ms,one_shot_pipeline_ms,process_ms,per_u8_kernel_us,per_u8_data_path_us,kernel_plaintext_bytes_per_s,data_path_plaintext_bytes_per_s
fpga,16,1,131072,1,25,hpu-native-psi64-v80,98304,15.795000,21.238000,61.780000,11.214000,668.711000,6.188000,0.000000,44.109000,701.163000,707.351000,778.774000,784.982000,832.820000,700.875000,44209.437500,1426.788,22.620
fpga,16,1,131072,1,26,hpu-native-psi64-v80,98304,14.679000,18.555000,73.244000,10.696000,591.826000,5.859000,0.000000,44.505000,621.077000,626.936000,709.031000,714.903000,764.124000,668.500000,39183.500000,1495.886,25.521
fpga,16,1,131072,1,27,hpu-native-psi64-v80,98304,13.627000,18.703000,68.190000,8.927000,459.160000,7.271000,0.000000,56.299000,486.790000,494.061000,568.638000,575.926000,635.863000,557.937500,30878.812500,1792.315,32.385
fpga,16,1,131072,1,28,hpu-native-psi64-v80,98304,17.323000,14.523000,80.373000,8.821000,548.828000,4.816000,0.000000,47.535000,572.172000,576.988000,669.891000,674.722000,725.813000,551.312500,36061.750000,1813.853,27.730
fpga,16,1,131072,1,29,hpu-native-psi64-v80,98304,14.175000,14.798000,63.152000,9.363000,586.099000,6.653000,0.000000,50.458000,610.260000,616.913000,687.608000,694.282000,749.131000,585.187500,38557.062500,1708.854,25.936
fpga,32,1,131072,1,0,hpu-native-psi64-v80,98304,16.248000,16.407000,64.004000,14.936000,3363.217000,9.655000,0.000000,52.751000,3394.560000,3404.215000,3474.846000,3484.544000,3541.832000,466.750000,106381.718750,2142.475,9.400
fpga,32,1,131072,1,1,hpu-native-psi64-v80,98304,16.577000,17.549000,61.467000,15.515000,1452.400000,11.580000,0.000000,55.051000,1485.464000,1497.044000,1563.534000,1575.137000,1634.715000,484.843750,46782.625000,2062.520,21.375
fpga,32,1,131072,1,2,hpu-native-psi64-v80,98304,13.653000,13.733000,72.659000,11.366000,6137.184000,9.333000,0.000000,57.709000,6162.283000,6171.616000,6248.627000,6257.976000,6320.168000,355.187500,192863.000000,2815.414,5.185
fpga,32,1,131072,1,3,hpu-native-psi64-v80,98304,15.673000,14.051000,84.938000,11.585000,918.110000,9.528000,0.000000,47.166000,943.746000,953.274000,1044.390000,1053.940000,1107.568000,362.031250,29789.812500,2762.192,33.569
fpga,32,1,131072,1,4,hpu-native-psi64-v80,98304,14.793000,15.935000,73.392000,12.568000,1154.976000,11.554000,0.000000,44.546000,1183.479000,1195.033000,1271.699000,1283.319000,1332.356000,392.750000,37344.781250,2546.149,26.778
fpga,32,1,131072,1,5,hpu-native-psi64-v80,98304,16.981000,14.634000,63.777000,11.382000,1163.057000,11.379000,0.000000,46.488000,1189.073000,1200.452000,1269.859000,1281.264000,1332.505000,355.687500,37514.125000,2811.457,26.657
fpga,32,1,131072,1,6,hpu-native-psi64-v80,98304,15.855000,15.526000,59.211000,12.378000,926.356000,10.089000,0.000000,51.004000,954.260000,964.349000,1029.348000,1039.549000,1095.501000,386.812500,30135.906250,2585.232,33.183
fpga,32,1,131072,1,7,hpu-native-psi64-v80,98304,13.753000,18.681000,70.185000,11.230000,916.006000,10.736000,0.000000,49.319000,945.917000,956.653000,1029.908000,1040.666000,1094.417000,350.937500,29895.406250,2849.510,33.450
fpga,32,1,131072,1,8,hpu-native-psi64-v80,98304,16.411000,13.548000,68.618000,11.402000,927.803000,10.093000,0.000000,52.657000,952.753000,962.846000,1037.817000,1047.930000,1105.681000,356.312500,30088.937500,2806.525,33.235
fpga,32,1,131072,1,9,hpu-native-psi64-v80,98304,15.851000,18.258000,67.972000,11.001000,957.208000,9.169000,0.001000,50.062000,986.467000,995.636000,1070.326000,1079.538000,1134.305000,343.781250,31113.625000,2908.826,32.140
fpga,32,1,131072,1,10,hpu-native-psi64-v80,98304,13.951000,17.733000,68.408000,12.159000,1369.644000,12.866000,0.000000,47.671000,1399.536000,1412.402000,1481.920000,1494.808000,1547.160000,379.968750,44137.562500,2631.795,22.656
