backend,mode,batch_size,iteration,output_layout,physical_output_bytes_per_u8,encrypt_ms,native_pack_ms,encrypt_and_pack_ms,per_u8_encrypt_us,per_u8_encrypt_and_pack_us,plaintext_bytes_per_s,native_ciphertext_bytes_per_s
cpu,serial,16,10,hpu-native-psi64-v80,98304,7.391979000,0.525975000,7.918104000,461.998688,494.881500,2020.686,198641492.963
cpu,serial,16,11,hpu-native-psi64-v80,98304,7.400219000,0.524446000,7.924804000,462.513688,495.300250,2018.977,198473552.153
cpu,serial,16,12,hpu-native-psi64-v80,98304,7.406691000,0.523029000,7.929856000,462.918188,495.616000,2017.691,198347107.438
cpu,serial,16,13,hpu-native-psi64-v80,98304,7.403284000,0.521806000,7.925221000,462.705250,495.326312,2018.871,198463109.104
cpu,serial,16,14,hpu-native-psi64-v80,98304,7.405830000,0.520834000,7.926795000,462.864375,495.424688,2018.470,198423700.878
cpu,serial,16,15,hpu-native-psi64-v80,98304,7.388364000,0.520509000,7.909015000,461.772750,494.313438,2023.008,198869770.762
cpu,serial,16,16,hpu-native-psi64-v80,98304,7.387482000,0.520684000,7.908307000,461.717625,494.269187,2023.189,198887574.800
cpu,serial,16,17,hpu-native-psi64-v80,98304,7.382244000,0.520408000,7.902783000,461.390250,493.923938,2024.603,199026596.074
cpu,serial,16,18,hpu-native-psi64-v80,98304,7.387992000,0.520469000,7.908623000,461.749500,494.288938,2023.108,198879627.971
cpu,serial,16,19,hpu-native-psi64-v80,98304,7.387075000,0.520546000,7.907748000,461.692188,494.234250,2023.332,198901634.195
cpu,serial,16,20,hpu-native-psi64-v80,98304,7.383302000,0.520899000,7.904341000,461.456375,494.021313,2024.204,198987366.562
cpu,serial,16,21,hpu-native-psi64-v80,98304,7.388988000,0.520859000,7.909992000,461.811750,494.374500,2022.758,198845207.429
cpu,serial,16,22,hpu-native-psi64-v80,98304,7.386818000,0.520631000,7.907581000,461.676125,494.223813,2023.375,198905834.793
