backend,mode,batch_size,iteration,elapsed_ms,per_u8_us,plaintext_bytes_per_s,logical_ciphertext_bytes_per_s
cpu,serial,4,23,1.869453000,467.363250,2139.663,140293444.125
cpu,serial,4,24,1.874441000,468.610250,2133.970,139920114.850
cpu,serial,4,25,1.869313000,467.328250,2139.824,140303951.238
cpu,serial,4,26,1.876279000,469.069750,2131.879,139783049.323
cpu,serial,4,27,1.870014000,467.503500,2139.021,140251356.407
cpu,serial,4,28,1.872235000,468.058750,2136.484,140084978.649
cpu,serial,4,29,1.869275000,467.318750,2139.867,140306803.440
cpu,serial,8,0,3.793544000,474.193000,2108.846,138272812.969
cpu,serial,8,1,3.778895000,472.361875,2117.021,138808831.682
cpu,serial,8,2,3.786930000,473.366250,2112.529,138514311.065
cpu,serial,8,3,3.779204000,472.400500,2116.848,138797482.221
cpu,serial,8,4,3.779514000,472.439250,2116.674,138786097.895
cpu,serial,8,5,3.776719000,472.089875,2118.241,138888807.984
cpu,serial,8,6,3.774262000,471.782750,2119.620,138979222.958
cpu,serial,8,7,3.782862000,472.857750,2114.801,138663266.067
cpu,serial,8,8,3.776236000,472.029500,2118.512,138906572.577
cpu,serial,8,9,3.771830000,471.478750,2120.986,139068833.961
cpu,serial,8,10,3.774473000,471.809125,2119.501,138971453.763
cpu,serial,8,11,3.775677000,471.959625,2118.825,138927138.100
cpu,serial,8,12,3.774549000,471.818625,2119.459,138968655.593
cpu,serial,8,13,3.780405000,472.550625,2116.175,138753387.534
cpu,serial,8,14,3.778099000,472.262375,2117.467,138838077.033
cpu,serial,8,15,3.775349000,471.918625,2119.009,138939208.004
cpu,serial,8,16,3.778903000,472.362875,2117.016,138808537.822
cpu,serial,8,17,3.775994000,471.999250,2118.647,138915474.972
cpu,serial,8,18,3.791859000,473.982375,2109.783,138334257.682
cpu,serial,8,19,3.778873000,472.359125,2117.033,138809639.805
cpu,serial,8,20,3.776769000,472.096125,2118.213,138886969.259
cpu,serial,8,21,3.776928000,472.116000,2118.124,138881122.436
cpu,serial,8,22,3.783223000,472.902875,2114.599,138650034.640
cpu,serial,8,23,3.778261000,472.282625,2117.376,138832124.091
cpu,serial,8,24,3.776710000,472.088750,2118.246,138889138.960
cpu,serial,8,25,3.780349000,472.543625,2116.207,138755442.950
cpu,serial,8,26,3.778231000,472.278875,2117.393,138833226.449
cpu,serial,8,27,3.776407000,472.050875,2118.416,138900282.729
cpu,serial,8,28,3.781171000,472.646375,2115.747,138725278.492
cpu,serial,8,29,3.774743000,471.842875,2119.350,138961513.406
